epoch;correct;error
0;11;203.577631512186
1;15;131.08868798591422
2;20;112.91772179005918
3;13;108.51705847832638
4;20;99.0001361246347
5;17;98.67321749480709
6;20;98.3572005063128
7;27;89.17920161366422
8;34;86.47720988939159
9;32;86.4383963172003
10;33;81.76417364357233
11;35;81.31873726097754
12;50;76.0972398843083
13;38;78.27949661462323
14;56;71.0213175740717
15;43;75.50163126553916
16;48;73.62735159468254
17;51;71.65427408648341
18;40;76.34018483192666
19;62;68.55862521869474
20;61;65.08907587451301
21;59;65.12901718727406
22;64;63.174967465575016
23;56;66.13626171706998
24;57;69.44670203151965
25;71;62.461088673535535
26;73;61.273158979875426
27;70;61.38515008950121
28;78;55.53537035043809
29;73;58.138639468637635
30;72;60.97050298386255
31;67;60.44045110640376
32;80;54.9944954432428
33;81;53.47855528348388
34;80;51.329787684608995
35;70;59.391357767571456
36;81;52.033708499418495
37;80;52.85409327980687
38;80;52.20280722344376
39;79;52.42855931409182
40;84;51.38406021852764
41;73;54.67636169975333
42;83;50.00443968484403
43;76;53.482524134761995
44;75;55.28392348031854
45;76;52.479439067132944
46;82;50.41504578890637
47;74;53.678878497001875
48;77;52.977910645504025
49;81;49.43987557518757
50;80;46.82533929137807
51;81;44.44039149815496
52;80;48.829347179773706
53;74;50.95114502453249
54;83;46.18266952093708
55;86;45.02002596094604
56;82;44.49198576080566
57;81;47.36947842701777
58;83;45.3813705417932
59;80;48.543202776641
60;82;44.46436955917261
61;89;45.56191543854674
62;89;39.85869783702512
63;83;46.488970032099196
64;82;43.68038325734269
65;85;43.30300302191926
66;86;44.5866654341369
67;84;44.58532547745824
68;84;44.21937453927072
69;81;43.57690083252616
70;85;42.95120824798489
71;86;40.393186213817955
72;86;41.752606622852994
73;82;43.09222280084775
74;80;43.94665801032325
75;88;40.77152375401537
76;88;40.59154262564918
77;84;38.895381592157435
78;86;36.29000488036779
79;85;42.31087962386421
80;89;36.562883972082574
81;89;36.31857986456921
82;78;43.88867122192049
83;83;38.71574993725574
84;88;36.99817589338414
85;85;40.46465940122782
86;88;38.469891882847975
87;89;33.74873694500116
88;87;37.18565182548993
89;86;38.045680705622196
90;84;37.33200518429105
91;91;31.922208625272972
92;85;38.693495049595626
93;86;36.7103854398454
94;88;35.48493205984713
95;84;36.49091927045128
96;87;40.26430061259817
97;89;36.30170590063038
98;82;37.64613862991514
99;90;34.3479706905897
100;92;32.63038201943427
101;89;34.09759833638211
102;90;31.89081276709812
103;91;31.492108760737963
104;83;36.22539312560475
105;87;34.48994239321987
106;88;35.044379976714794
107;82;37.449227439010905
108;88;32.9091937507975
109;80;38.89960776548146
110;86;34.542591939000125
111;87;35.62291580618228
112;86;36.09554510234997
113;80;40.71027478963776
114;88;32.29183326185691
115;83;36.77588870599933
116;88;36.39054256170126
117;92;31.520467334348037
118;90;31.951538636097492
119;85;37.621637398013576
120;84;36.15370206803972
121;87;33.51070798094159
122;87;31.592751551020186
123;84;32.586321627757975
124;90;32.91707096042159
125;90;29.741674136982596
126;84;34.01718352358995
127;88;31.362987761212356
128;87;36.09923792118168
129;94;26.709635095638472
130;89;30.816912831141003
131;88;31.989348346424524
132;79;41.164796008364256
133;90;30.61476844336671
134;90;29.475262344821395
135;93;29.097431183877962
136;92;29.2852970768958
137;87;30.699990299704425
138;87;29.024876558290426
139;85;34.86308289622213
140;86;32.17413787138659
141;85;32.93487007974366
142;83;35.04076174770961
143;87;30.494958822975647
144;84;31.39176822609263
145;89;29.54276122281916
146;85;35.600277754331806
147;86;33.15719867404189
148;86;32.01582483555126
149;84;33.22825951778432
150;89;30.20279822674761
151;90;31.74271522316853
152;88;32.15073677502489
153;81;34.4458526950196
154;87;28.836636565020964
155;85;34.84861460022357
156;89;29.27288384444915
157;88;29.61249004905331
158;87;31.438443218173756
159;79;37.42286145199567
160;87;33.68276316984532
161;91;28.856285055687323
162;90;28.61744570227263
163;84;34.19339818445486
164;90;29.295567793546976
165;85;33.976493269989376
166;91;24.322714062073047
167;90;28.42640933643696
168;92;26.107835079574237
169;89;30.821645366850927
170;85;31.778507721455536
171;95;24.958899543418518
172;93;24.477969796996845
173;89;29.193918813880835
174;89;28.9053832647877
